"id","profileName","text","date","title","rating","images","helpful"
"R3MSZ6BBQQZDZL","Jenna L. Breitinger","
   I used these for an unlikely reason - toys for my horse. Highly durable and he loves them!
","Reviewed in the United States on August 22, 2019","Very durable!",5,"https://images-na.ssl-images-amazon.com/images/I/71c8Eh-cjsL.jpg","554"
"R2AFVPGMBVQ75J","Vlad","
  Got this one for my son, to help with stacking. He has special needs and stacking was one of the areas he was struggling with. During his OT they used a variant of this stacker with a lot of success, so while I was still at their office, I ordered one. So far, so good. He likes it, specially the red ring with yellow dots. He also liked the one with the beads inside. The rings are made out of plastic and appear to be durable.Update: They are very durable. Over a year has passed and they are still going strong.
","Reviewed in the United States on September 21, 2019","Good one!",4,"","213"
"RD7808PPKEFKK","L Nostrant","
  My six-month-old granddaughter loves this toy. She’s too young for stacking, but enjoys exploring the different rings. They have different colors and textures, and her favorite is the clear rattle. Very thoughtfully designed toy that will provide several years of fun and learning.
","Reviewed in the United States on September 20, 2019","Baby loves it; Versatile",5,"https://images-na.ssl-images-amazon.com/images/I/71totsOuvXL.jpg","142"
"R154DO48JNGHLA","Kelsey","
  I REALLY like this! Only giving it 4/5 stars because it’s a bit smaller than I expected... but my 6-month-old doesn’t seem to mind!
","Reviewed in the United States on January 16, 2020","Really great",4,"https://images-na.ssl-images-amazon.com/images/I/81DHQIgxUxL.jpg","109"
"R4IKESS1481KJ","Amazon Customer","
  Love the versatility of play offered by this toy especially compared to the traditional ring stacker. Black and white rings can be used in newborn days to show baby contrasting patterns. One ring can be used as a rattle. All rings can be used for exploring textures and teething. The only things that I would like to see improved are holes in some loops being bigger so the toy could be used in later years as a ring toss and the material being used to be something other than plastic.
","Reviewed in the United States on July 25, 2020","Super versatile compared to traditional ring stacker",4,"https://images-na.ssl-images-amazon.com/images/I/71urrWmuHQL.jpg","75"
"R2MF03ZMHVYZXE","Lebrisa Designs","
  Do not recommed at all. This toy doesn’t stand upright and falls over very easily. Extremely hard to stack the rings.
","Reviewed in the United States on March 28, 2019","Not Functional",1,"","67"
"R2V3ET3N78HNI","JP","
  Purchased these for my 7-month-old. The quality and design are great. The circles have different weights, shapes, and sizes which are great for learning. A couple of the smaller rings are made somewhat out of a softer material so it's not as hard when the baby tries to bite/chew on it.
","Reviewed in the United States on June 19, 2019","Wonderful toy",5,"","59"
"RFBI5MUMBXYWE","Mike S.","
  Our 10-month old has been using this set since she was 3 months.  Her favorite is the clear ring that rattles.  She likes removing them and banging them together.  She still is yet to learn how to put them back on the stacker, so still more use coming up for this toy.  Even the stacker unscrews from the base, giving you two additional toys.
","Reviewed in the United States on September 24, 2019","Durable; fun for a baby",4,"","51"
"R324BOVEH5MNUX","KyMaldonado","
  I bought these stacking rings for my 8 month old to play and teeth on, but mainly to stimulate her mind. Upon searching these were the most unique ones that I felt would capture her attention and soon love (she already loves them, day 2.)The only flaw, and this is totally just me I'm sure, the orange ring triggers trypophobia (an uncomfortable feeling or discomfort/disgust with holes/bumps...don't google it 🙈🤢). Obviously I saw the photos before buying it, but figured I could switch it out with something else, or perhaps it won't bug me in person. In full light it's totally fine, but for some people it may not be good in any circumstance. I have another little rattle thing from a seperate playmat that my baby loves, I can put on there instead of the orange one, so there's totally a work around if you need it. This set rocks, so don't avoid buying it just because one ring looks bleh.The orange and magenta rings are hollow plastic and therefore squishy so they're good to teeth on, I assume lol. The blue spotted one is harder plastic, but feel like a teething material, as are the small blue dotted one and the black and white striped ring. The clear, green and yellow rings are the only hard plastic ones not perfect for teething, but great for banging on things!All in all, I'm very satisfied with this toy! Its smaller than what you'd expect based on pervious experiences with other stacking rings, but PERFECT for little ones! (Johnson bedtime lotion for scale 📷😉)
","Reviewed in the United States on September 10, 2020","Perfect with a slight work around! 👌",5,"https://images-na.ssl-images-amazon.com/images/I/61-DSECAbIL.jpg
https://images-na.ssl-images-amazon.com/images/I/7186wybwfrL.jpg
https://images-na.ssl-images-amazon.com/images/I/71kNviKk+NL.jpg","11"
"R2R4AH8WJPZV8P","O B M B","
  Do not buy this toy- major choking hazard. My baby dropped this toy on the floor (as 6-month-old babies do) and the base opened up, with many small pieces coming apart (including tiny screws!!) that could be huge choking hazards. Thankfully I was right there and picked up all the pieces.
","Reviewed in the United States on May 21, 2021","Choking hazard",1,"https://images-na.ssl-images-amazon.com/images/I/C1ShKBLb9mS.jpg
https://images-na.ssl-images-amazon.com/images/I/C1Yn-vhOcZS.jpg","12"
"RWGUIYP8YU16G","AvidReader","
  My daughter doesn't use this product for its intended purpose, but she loves it nonetheless. She likes to pull off all the rings and wear them as bracelets. She loves the different textures!
","Reviewed in the United States on July 6, 2019","Great set of stacking rings!",5,"","17"
"R3AZGTI57DA5HL","Shannon T","
  I bought this stacking ring set almost a year ago. At first I thought it was a good toy, but now I have noticed that since my almost 14 month old daughter likes to chew on the rings more so than stacking them, I have noticed how bits of the silicone have been peeling off the rings.She has 8 teeth. I’m trying to only present this toy with supervision now but I am worried about how much of the fragments she has ingested by now.Will not buy this again, these particular rings look very worn.
","Reviewed in the United States on February 25, 2021","Peeling and dangerous",3,"https://images-na.ssl-images-amazon.com/images/I/71nXe9hfTWL.jpg
https://images-na.ssl-images-amazon.com/images/I/81Ffz9FXCpL.jpg","9"
"R1RSNOO6V24ZE6","L. J. Fletes","
  My baby loved this ring tower, especially the clear ring that rattles. I have had only two concerns. My husband and I clean and sterilize his toys often, and my husband tried to put the solid plastic rings in the pabalic sterilizer we use and it completed flattened and warped them so they no longer fit onto the ring base. I suppose the instruction manual probably warned about that, but we do like toys that are safe for sterilizers. The other issue is with the rattle ring I mentioned - another cleaning fail. I typically soak the baby's plastic toys in warm soapy water then rinse and sterilize, but since this was a two piece toy I didn't want to chance getting steam inside of it, but I suppose I should have been as worried as the water and soap getting inside because that's exactly what it did. It took forever to try to drain because it's not intended to be able to open. Please know that I don't blame this on manufacturing, we should have read up before we cleaned. So, long story short, your baby will probably love this, but when you want to clean it, just use a warm washcloth to wipe it down.
","Reviewed in the United States on May 6, 2020","Fun toy for an 8month old",4,"","3"
"R1Z70QKGCS6E3M","Alex","
  These rings are fun to play with and my daughter loves the rattle one. Since the rings all have the same size hole in them, they can be placed on the post in any order, which is great when they’re still learning.I took a star off because the post the rings go through is a thin, hollow plastic that could get warped with time. I also don’t love that when my little one bites the softer rings, the indentation of her teeth stays. While she’s not biting pieces off, it means it’s not the best teething toy since bites leave a mark.
","Reviewed in the United States on October 20, 2020","Great toy, but not perfect design",4,"","5"
"R3RI0QBKS5FLQK","shopgirl77","
  I bought this as a Christmas gift for my great granddaughter but ended up keeping it at my house for her to play with. The things I like about it are it's really bright and colorful and she can easily handle getting the rings off and on by herself. She likes to chew on the small ones and since shes cutting teeth and likes to chew on everything this is great.The first 4 rings are hard, easy to pick up and have different textures i.e. wavy, bumps, grooves, etc.  The next three are bigger and softer and also different textured surfaces.The thing I didn't like was that the base isn't weighted at all and the bottom ring doesn't come off which is the only thing that is suppose to keep it balanced and upright and while it might do a slightly better job on a hard surface like tile or hardwood, it was a total fail on carpet or a blanket. On the bright side it also doesn't make a very good weapon for her older brother to use against her so I guess that could move it back into the plus column.Oh and the price was okay when I bought it and I see that it's cheaper now so go for it. I'm not sure it will last as long as the Fisher Price brand I would have normally bought but it is brighter and cuter and the teether rings make it more functional and my granddaughter happier for sure.
","Reviewed in the United States on December 17, 2021","Bright, Colorful and entertaining for 9 month old.",5,"https://m.media-amazon.com/images/I/515Nbvltv6L.jpg",0
"R2ZYNDTX23ILX4","Roaming1978","
  I returned due to not stating on packaging that these are safe for kids (BPA & PVC) Free!
","Reviewed in the United States on June 13, 2021","Packaging does NOT state anywhere that this is BPA and PVC FREE!",1,"","5"
"R2P0UPUF4574F1","Love2Teach","
  My favorite part of this product is that all the rings fit in any order. My grandson first started using this (well, I helped) when he was about 6 months old. Even now at 10 months I'm quite sure he would get frustrated if he had to put them on in a particular order to make them fit. Also, each ring is quite different from the other rings so the toy provides a lot more sensory experience than the traditional ring stacker. Not just colors, but the way each ring feels is very different. And it's well made and durable, so no problems there.Great product!!
","Reviewed in the United States on October 30, 2019","Circle Stacker",5,"","4"
"RIXX9SYF6DCV6","Melissa","
  This was much smaller than I expected it to be but that turned out to be perfect for my 9 month old. The first day he played with it (specifically the base with no rings on it) for about 30 minutes which is an eternity for a baby. Now he's had it for a couple weeks he's not so enthralled but he still likes to wave and chew on the base and rattle one of the rings. I'm sure as he gets older he will get more use out of it.
","Reviewed in the United States on January 17, 2020","Cute and entertaining",5,"","5"
"RT15ETP1ICX2V","Lindsay Hartman","
  Bought this for 7-month-old my nephew and it has quickly become one of his favorite toys.  I watched him crawl over to his toy box, tip it over, and throw things out to get this.  Each ring is unique with different widths, textures, and colors & it has been interesting seeing which he gravitates to most.  He can carry them as he crawls or stands by the couch and, as he is teething, most have made their way into his mouth at some point.
","Reviewed in the United States on July 30, 2020","Fabulous toy for teething child",5,"https://images-na.ssl-images-amazon.com/images/I/71zj5rcbdoL.jpg","3"
"R1L7JYLWW5P8Q5","Susan","
  As another reviewer said, it is much smaller than anticipated.  I have noticed this to be a real problem with Amazon baby toys.  The size is not included in the upfront description and you would never expect it to be as small from the pictures (perhaps it's the angle they use), but I feel deceived.  Additionally, this just felt cheap.  I don't know why it's considered a ""STEM"" toy.  There's nothing really interesting about it.  The rings didn't come off easily, seemed flimsy and had nothing to catch a baby's eye.  Going back ASAP.
","Reviewed in the United States on December 18, 2020","Not at all as expected",1,"","2"
"R2OIJ7U3386N3L","S.L.","
  My baby’s current favorite toy! She went right on mouthing the rings when I added this on her toy rotation.I just checked each ring and those that don’t seem to have holes, I washed with warm soap and water.  Those with something that look like holes, I just wiped using Force of Nature cleaner (didn’t want to wash with water and risk molds).The toy is the right size for small fingers and hands, very easy to manipulate and play with.  My seven-month old baby doesn’t know how to shoot in the pole just yet, but she enjoys taking them out one by one (or turning the whole toy upside down so all the rings slide out the pole).  It’s also nice that, although each ring has a small number somewhere, they can still be stacked in no particular order.I recommend this! 👍🏽
","Reviewed in the United States on August 3, 2020","A must-have baby toy!",5,"https://images-na.ssl-images-amazon.com/images/I/71iPC7BSIcL.jpg",1
"R10VL2167BIGDP","Love 2 Shop","
  I had originally bought basic stacking rings that, from the bottom stack large to small (at top).  Saw these and decided to return the the ones I bought (even tho I'm paying a tad more for these).  These are great because you can stack them any which way, size does not matter (however, that option is still there).Each ring has a different texture/color/design.  My six month old grandson dove right into them.  He is not at an age, yet, to actually stack them...but he'll pull them off and play with the different pieces (as well as teeth on them, lol).  Because of the smaller rings it works those fine motor skills too!  I really like everything about this stacker and know it'll be a great toy as he grows...very happy with my purchase!
","Reviewed in the United States on August 3, 2021","Great Variety of Stacking Rings",5,"",0
"RQ3DU50TF1C7Y","GeiselW","
  This is a great toy. For young babies who don' tyet have the dexterity to stack, they will enjoy the colorful rings. As they get older, babies can stack these rings without frustration because the diameters of all the rings are the same size. I bought this for my twin granddaughters who are ten months old and these rings held their interest for quite a while. They loved holding one in each hand and shaking and banging the rings together.
","Reviewed in the United States on May 2, 2021","Keeps baby's interest",5,"","2"
